name,address
Vivencio-Obias Kinalansan National High School,"San Jose, Camarines Sur"
Wenceslao S. Grio National High School,"Cabanatuan, Iloilo"
"West Bridges Institute of Technology, Inc.","Cabuyao, Laguna"
West Coast College,"Pioduran, Albay"
West Coast High School,"Calabanga, Camarines Sur"
Western Bicutan National High School,Taguig City
World Citi Colleges,Quezon City
"Worldtech Resources Institute, Inc. - Goa","Goa, Camarines Sur"
"Worldtech Resources Institute, Inc. - Naga City","Pili, Camarines Sur"
"Worldtech Resources Institute, Inc. - Rinconada",Iriga City
Yobhel Christian Academy,"Pili, Camarines Sur"
Zeferino Arroyo High School,Iriga City
